"Word","Length","Freq_HAL","Log_Freq_HAL","POS","I_Mean_RT","I_Mean_Accuracy"
"ALF","3","928","6.83","NN","NULL","NULL"
"ALFA","4","849","6.74","NN","NULL","NULL"
"alfresco","8","5","1.61","JJ|RB","NULL","NULL"
"algebraical","11","2","0.69","JJ","NULL","NULL"
"algebras","8","156","5.05","NN","NULL","NULL"
"ALGER","5","200","5.30","NN","NULL","NULL"
"ALGINATES","9","3","1.10","NULL","NULL","NULL"
"ALGOL","5","380","5.94","NN","NULL","NULL"
"algorithmic","11","637","6.46","JJ","NULL","NULL"
"algorithms","10","9114","9.12","NN","NULL","NULL"
"ALIA","4","523","6.26","minor|NN","NULL","NULL"
"ALIAH","5","0","0.00","NULL","NULL","NULL"
"aliases","7","3283","8.10","NN","NULL","NULL"
"alienating","10","372","5.92","VB","NULL","NULL"
"alienist","8","15","2.71","NN","NULL","NULL"
"alienists","9","3","1.10","NN","NULL","NULL"
"ALIENUS","7","2","0.69","NULL","NULL","NULL"
"alighted","8","27","3.30","VB","NULL","NULL"
"alighting","9","19","2.94","VB|NN","NULL","NULL"
"alights","7","12","2.48","VB","NULL","NULL"
"aligns","6","137","4.92","VB","NULL","NULL"
"allegros","8","2","0.69","NN","NULL","NULL"
"alimentary","10","41","3.71","JJ","NULL","NULL"
"aliments","8","17","2.83","NULL","NULL","NULL"
"ALIQUOTS","8","23","3.14","NN","NULL","NULL"
"ALISON","6","2575","7.85","NN","NULL","NULL"
"alit","4","16","2.77","VB","NULL","NULL"
"ALIX","4","133","4.89","NULL","NULL","NULL"
"ALIX'S","6","1","0.00","NULL","NULL","NULL"
"ALIZARIN","8","7","1.95","NN","NULL","NULL"
"ALKALOIDS","9","263","5.57","NN","NULL","NULL"
"ALKYLARYSULFONATE","17","0","0.00","NULL","NULL","NULL"
"ALKYLBENZENESULFONATES","22","0","0.00","NULL","NULL","NULL"
"ALLA","4","6199","8.73","NN","NULL","NULL"
"allayed","7","25","3.22","VB","NULL","NULL"
"allaying","8","17","2.83","VB","NULL","NULL"
"allays","6","8","2.08","VB","NULL","NULL"
"alleges","7","433","6.07","VB","NULL","NULL"
"ALLEGHENIES","11","2","0.69","NULL","NULL","NULL"
"ALLEGHENY","9","385","5.95","NN","NULL","NULL"
"allegorically","13","24","3.18","RB","NULL","NULL"
"allegories","10","58","4.06","NN","NULL","NULL"
"ALLEGRETTI","10","5","1.61","NULL","NULL","NULL"
"allegrettos","11","0","0.00","NN","NULL","NULL"
"alleluias","9","2","0.69","NN","NULL","NULL"
"ALLEMANDS","9","51","3.93","NULL","NULL","NULL"
"allergens","9","150","5.01","NN","NULL","NULL"
"alleviated","10","278","5.63","VB|JJ","NULL","NULL"
